NGC4789A(UGC8024) & 12 54 05.25 & +27 08 58.7 & 90.125692 & +6.896482 & 4.04 & Ir
UGC8188(IC4182) & 13 05 49.53 & +37 36 17.6 & 80.339005 & +11.605463 & 4.37 & Sm 
UGC8215 & 13 08 03.60 & +46 49 40.9 & 71.098467 & +13.587151 & 4.57 & Ir
UGC8308(DDO167) & 13 13 22.830 & +46 19 21.60 & 71.748247 & +14.420131 & 4.23 & Ir
UGC8320(DDO168) & 13 14 27.95 & +45 55 08.9 & 72.18739 & +14.55210 & 4.61 & Ir
UGCA342 & 13 15 06.70 & +42 00 05.0 & 76.20724 & +14.11194 & 6.16 & Ir
NGC5204 & 13 29 36.51 & +58 25 07.4 & 59.401631 & +17.845855 & 4.65 & Sm 
UGC8508 & 13 30 44.40 & +54 54 36.0 & 63.091464 & +17.905722 & 2.58 & Ir
NGC5229 & 13 34 02.83 & +47 54 55.6 & 70.463713 & +18.076562 & 5.13 & SBcd
NGC5238 & 13 34 42.513 & +51 6 49.25 & 66.581148 & +18.375046 & 4.51 & Sd
UGC8638 & 13 39 19.40 & +24 46 32.1 & 94.661903 & +16.342964 & 4.29 & Ir
UGC8651(DDO181) & 13 39 53.82 & +40 44 20.7 & 78.085263 & +18.579463 & 3.14 & Ir
UGC8760(DDO183) & 13 50 50.60 & +38 01 09.0 & 81.143162 & +20.467408 & 3.22 & Ir
UGC8833 & 13 54 48.67 & +35 50 14.7 & 83.535160 & +21.089662 & 3.08 & Ir
UGC9128(DDO187) & 14 15 56.52 & +23 03 19.0 & 97.833162 & +24.351768 & 2.21 & Ir
UGC9240(DDO190) & 14 24 43.40 & +44 31 32.8 & 74.067695 & +26.851844 & 2.79 & Ir
